FunctionName,VersionCount
user-service-prd-validateContacts,14
chat-service-prd-processDLQMessages,21
organization-service-stg-updateOrganizationMetadata,17
payments-service-stg-createPaymentIntent,10
walkin-service-prd-squeezeinQueues,12
organization-service-prd-getOrganizationCount,9
organization-service-stg-health,16
payments-service-prd-refund,13
user-service-stg-putAssignedPackages,42
template-service-dev-updateOrgTemplateVersion,22
metadata-registry-service-dev-patchMetadataRelation,44
bff-layer-stg-frontdesk,27
payments-service-prd-getOrder,13
device-service-stg-deviceUserDelete,19
clinic-details-apis-v3-stg-get-clinic-history,4
order-service-prd-ssmSync,4
alert-service-dev-testEchoOutboundEvents,4
sso-integration-prd-doctorProvisionWorker,7
user-service-stg-updateUserMetadata,42
dev_role_stream_handler,5
user-service-stg-createUserV1,35
okr-management-apis-v1-dev-update-KeyResult,9
payments-service-dev-storePaymentMethod,9
fairway-connect-apis-prd-paymentWebhook,9
user-service-prd-health,14
chat-service-prd-connect,23
alert-service-dev-swagger-json,31
walkin-service-stg-swagger-ui,15
user-service-stg-userRoleAssignmentRequested,17
chat-service-prd-chatHistoryApp,23
organization-service-prd-setOrgStatus,9
bff-layer-stg-availabilitySchedulePreview,25
chat-service-prd-message,23
payments-service-prd-chargeCustomer,5
alert-service-dev-testPublishCreateAlertIngest,22
user-service-stg-getUserByExternalIdentity,29
organization-service-stg-createOrganization,17
bff-layer-prd-availabilitySchedulePreview,7
chat-service-prd-callRecording,23
partner-integration-dev-getBookingSlots,4
sso-integration-prd-health,7
chat-service-prd-closeSession,23
chat-service-prd-downloadFile,22
order-service-stg-paymentEvents,24
user-service-dev-swagger-ui,30
device-service-stg-orgDeviceManage,19
metadata-registry-service-stg-patchMetadataRelation,4
template-service-dev-transitionTemplateStatus,22
fairway-connect-apis-prd-enrollmentOnPaymentIntentCreated,9
stg_assign_user_role,20
prd_user_role_handler,8
chat-service-prd-streamSchedule,23
payments-service-prd-checkPaymentStatus,13
user-service-prd-createPendingAppointment,14
user-service-dev-healthV1,3
chat-service-prd-multiPartUpload,22
chat-service-prd-keepAlive,9
order-service-prd-generateInvoice,8
chat-service-prd-processWebmFile,22
order-service-prd-getPaymentStatus,8
alert-service-dev-realtimeAggregation,10
order-service-prd-createOrgOrder,8
template-service-dev-getTemplateConfig,19
walkin-service-stg-getTokensByIds,33
user-service-stg-friendFamilyUpdate,40
order-service-stg-getOrderById,24
chat-service-stg-default,28
metadata-registry-service-stg-getMetadataRelatedValues,4
organization-service-prd-organizationList,9
payments-service-prd-getRefund,13
user-service-stg-validateUsers,32
device-service-stg-deviceList,19
dev_assign_user_role,18
user-service-prd-createUserV1,14
order-service-prd-requestPayment,8
metadata-registry-service-stg-getMetadata,4
user-service-prd-friendFamilyUpdate,14
order-service-prd-swagger-json,8
stg_get_role_permissions,20
user-service-dev-warmup-plugin-default,32
partner-integration-dev-health,3
clinic-details-apis-v3-dev-process-dynamoDBEvents,6
prd_role_stream_handler,6
Telehealth-Scheduler-prd-metaUpdateLambda,17
organization-service-stg-organizationList,17
Telehealth-Scheduler-prd-updateSchedule,24
authorizer-service-dev-localAuthorize,4
organization-service-prd-updateOrganizationMetadata,9
partner-integration-dev-mockB2BWebhook,3
partner-integration-dev-getPartnerLocation,4
user-service-prd-friendFamilyAddMember,14
metadata-registry-service-dev-getMetadata,48
device-service-stg-deviceSearch,18
payments-service-stg-swagger-ui,19
bff-layer-stg-doctorDashboardInitial,4
fairway-connect-apis-prd-getEnrollment,9
payments-service-stg-healthCheck,19
sso-integration-prd-ssoLaunch,7
user-service-prd-userProfileStreamHandler,6
okr-management-apis-v1-dev-okr-history-stream-processor,18
fairway-connect-apis-dev-sendSesEmail,9
partner-integration-dev-listAddedWebhooks,3
fairway-connect-apis-prd-createAuthCredentials,8
walkin-service-stg-getBlockByScheduleId,35
device-service-stg-deviceDelete,18
clinic-details-apis-v3-stg-process-dynamoDBEvents,3
user-service-stg-swagger-json,9
user-service-prd-getUserOrganization,14
organization-service-dev-warmup-plugin-default,11
order-service-stg-ssmSync,10
device-service-dev-deviceMetadataUpdate,34
bff-layer-prd-availabilityCheckConflicts,7
user-service-stg-listUserFiles,42
payments-service-stg-cancelPayment,19
device-service-stg-deviceFileUpload,15
payments-service-prd-swagger-ui,13
user-service-stg-friendFamilyDelete,40
walkin-service-prd-getTokenById,12
dev_get_assigned_users_v1,6
dev_delete_org_role,18
stg_sync_roles_handler_v1,3
Telehealth-Scheduler-prd-markAutoStatusUpdateSchedules,17
user-service-prd-getUserByExternalIdentity,14
payments-service-prd-createPaymentIntent,7
user-service-stg-userReminderEvent,16
order-service-stg-generateInvoice,24
chat-service-prd-updateGroup,23
fairway-connect-apis-prd-resetAuthPassword,8
Telehealth-Scheduler-prd-scheduleReminder,24
payments-service-stg-createCustomer,7
fairway-connect-apis-prd-loginAuth,8
payments-service-stg-storePaymentMethod,7
user-service-prd-swagger-ui,6
user-service-stg-deleteUser,42
metadata-registry-service-dev-getMetadataRelations,44
order-service-stg-getPaymentStatus,24
template-service-dev-listCompatibleTemplates,22
walkin-service-prd-cleanupOldTokens,12
template-service-dev-updateTemplateConfig,19
sso-integration-prd-syncHmsAppointments,7
chat-service-prd-uploadImage,23
user-service-prd-inviteNotificationStreamHandler,14
prd_get_assigned_users,10
order-service-prd-markPaid,8
partner-integration-dev-createOrder,4
chat-service-prd-deleteMessage,23
user-service-prd-assignDoctor,14
template-service-dev-getTemplateVersions,17
chat-service-prd-chatStream,23
template-service-dev-health,22
user-service-stg-createPendingAppointment,27
partner-integration-dev-updatePackage,4
metadata-registry-service-dev-listMetadataAudit,48
template-service-dev-listOrgTemplates,22
fairway-connect-apis-prd-getStopBangPdfDownload,8
fairway-connect-apis-prd-createEnrollment,9
walkin-service-stg-deleteBlock,33
organization-service-prd-createOrganization,9
device-service-stg-deviceRegister,19
stg_save_org_role_v1,3
device-service-stg-deviceUserList,18
device-service-prd-deviceRecommendationRemove,8
chat-service-prd-staffList,23
device-service-prd-deviceRecommendationAdd,8
Telehealth-Scheduler-prd-reschedule,24
prd_get_role_permissions,10
okr-management-apis-v1-dev-getHistory,15
organization-service-prd-organizationProfileStreamHandler,7
chat-service-prd-forwardMessage,23
organization-service-dev-organizationProfileStreamHandler,19
device-service-prd-deviceDelete,8
walkin-service-stg-getTokenForScheduleIds,14
walkin-service-prd-squeezeinQueueAvailability,12
organization-service-stg-getLinkedOrganizations,17
user-service-prd-friendFamilyFetch,14
organization-service-prd-uploadOrganizationFile,9
walkin-service-prd-updateStatus,12
stg_get_user_permissions,20
organization-service-stg-organizationProfileStreamHandler,7
device-service-stg-health,9
device-service-prd-deviceOrgRemove,8
